observer_asn,observer_is_rpki,timestamp,attack_type,attacker_asn,prefix,as_path_length
37352,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14828,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
29164,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4594,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6643,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6643,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
37363,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6648,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6648,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
6648,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
6648,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
10745,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
10745,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
6653,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23038,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14848,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6661,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23047,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16904,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14860,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16912,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14866,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25108,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25108,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
39444,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33302,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25111,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
29207,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12826,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23068,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33309,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18978,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35362,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35362,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
549,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23078,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4651,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
